last_name, first_name,player_id,year,player_age,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Severino, Pedro,600474,2021,28,0.249,0.401,0.299,0.311,0.312,0.151,88.2,15.2,33.5,7.6
Nunez, Renato,600524,2021,27,0.176,0.267,0.287,0.211,0.206,0.09,85.0,14.0,21.6,2.7
Candelario, Jeimer,600869,2021,28,0.278,0.465,0.344,0.357,0.358,0.187,88.7,12.6,38.6,9.0
Daza, Yonathan,602074,2021,27,0.26,0.335,0.304,0.292,0.315,0.075,85.2,6.6,32.3,2.0
Urias, Ramon,602104,2021,27,0.27,0.427,0.341,0.344,0.354,0.156,89.6,5.2,34.4,9.7
Rondon, Jose,602922,2021,27,0.238,0.359,0.316,0.297,0.304,0.122,86.1,19.6,35.4,4.6
Ahmed, Nick,605113,2021,31,0.208,0.29,0.269,0.249,0.268,0.083,87.2,10.1,27.9,2.4
Anderson, Brian,605119,2021,28,0.215,0.374,0.314,0.299,0.307,0.159,88.8,11.3,33.9,7.7
Barnes, Austin,605131,2021,32,0.213,0.311,0.285,0.274,0.297,0.098,85.2,13.5,29.7,4.1
Bell, Josh,605137,2021,29,0.277,0.488,0.352,0.367,0.363,0.211,92.5,4.9,28.5,8.8
Betts, Mookie,605141,2021,29,0.263,0.445,0.365,0.357,0.369,0.182,90.3,18.9,34.0,7.8
Caratini, Victor,605170,2021,28,0.228,0.356,0.273,0.291,0.313,0.128,90.0,8.4,31.5,6.8
Davis, J.D.,605204,2021,28,0.248,0.408,0.357,0.338,0.355,0.159,89.7,13.2,37.2,12.4
Garcia, Aramis,605244,2021,28,0.191,0.293,0.244,0.229,0.227,0.102,88.5,9.7,27.4,4.8
Musgrove, Joe,605397,2021,29,0.107,0.12,0.143,0.112,0.123,0.013,82.8,5.1,18.2,0.0
